Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,6610,0,86,95.8082160204804,77.93420006055385,5110.797700006515,828.0,22.140509934190383,0.0,86,87,88,88,90,94,110,170,5100,5100,5100
GET,Light Request,19894,0,86,96.22945699741094,77.77240010909736,5109.2881000367925,805.0,66.63590085185832,0.0,86,87,88,88,90,95,130,180,5100,5100,5100
,Aggregated,26504,0,86,96.12440104896878,77.77240010909736,5110.797700006515,810.7361153033504,88.7764107860487,0.0,86,87,88,88,90,94,120,180,5100,5100,5100
