Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,6603,0,86,99.19112991091619,77.50759995542467,5110.416100011207,828.0,22.118531451649012,0.0,86,87,88,88,90,96,130,180,5100,5100,5100
GET,Light Request,19846,0,86,100.76886509648575,77.26699998602271,5111.155399936251,805.0,66.47953584574077,0.0,86,87,88,88,90,96,140,190,5100,5100,5100
,Aggregated,26449,0,86,100.37498308089667,77.26699998602271,5111.155399936251,810.7419562176264,88.59806729738978,0.0,86,87,88,88,90,96,130,190,5100,5100,5100
