Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,6686,0,86,89.12779150476788,77.17740000225604,445.3479000367224,828.0,22.395113667327372,0.0,86,87,88,89,91,98,160,190,400,450,450
GET,Light Request,19924,3,86,88.95999029336554,77.41119991987944,503.93330003134906,804.9013752258583,66.73650085369886,0.010048660036192359,86,87,88,89,91,98,150,190,350,500,500
,Aggregated,26610,3,86,89.00215184539245,77.17740000225604,503.93330003134906,810.7051108605788,89.13161452102622,0.010048660036192359,86,87,88,89,91,98,150,190,370,490,500
