Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,1662,0,87,87.41759428254045,79.18230001814663,190.2568000368774,820.0,5.571212254200013,0.0,87,88,89,90,91,93,96,150,180,190,190
GET,Light Request,4949,0,87,87.25343158139847,78.86300003156066,196.55529991723597,797.0,16.589608571622062,0.0,87,88,89,89,91,94,96,110,190,200,200
,Aggregated,6611,0,87,87.2947019503741,78.86300003156066,196.55529991723597,802.7821812131297,22.160820825822075,0.0,87,88,89,89,91,93,96,110,190,200,200
