Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,1582,0,86,87.15049702969678,78.7240999052301,178.90059994533658,820.0,5.3050056018974665,0.0,86,88,89,90,92,94,97,140,180,180,180
GET,Light Request,5052,0,86,86.87199970253987,78.12020007986575,193.6909999931231,797.0,16.941143047273073,0.0,86,88,89,89,92,94,97,120,180,190,190
,Aggregated,6634,0,86,86.93841254118357,78.12020007986575,193.6909999931231,802.4847753994574,22.24614864917054,0.0,86,88,89,89,92,94,97,120,180,190,190
