Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,1633,0,87,88.56862988324399,78.7395000224933,801.7255999147892,820.0,5.4734389544831465,0.0,87,88,89,90,92,94,99,140,500,800,800
GET,Light Request,5027,0,87,90.15357607006393,78.33990000654012,1469.807600020431,797.0,16.849343309361164,0.0,87,88,89,90,92,95,110,180,880,1500,1500
,Aggregated,6660,0,87,89.76495488041273,78.33990000654012,1469.807600020431,802.6394894894895,22.32278226384431,0.0,87,88,89,90,92,95,100,170,870,1500,1500
