Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,3326,0,86,86.7381006603449,78.1016000546515,213.3635999634862,828.0,11.13037502539963,0.0,86,88,88,89,90,94,100,140,190,210,210
GET,Light Request,10003,0,86,86.53297146870868,77.81430007889867,249.42989996634424,805.0,33.47478694500075,0.0,86,87,88,88,90,93,100,140,190,250,250
,Aggregated,13329,0,86,86.58415758104884,77.81430007889867,249.42989996634424,810.7392152449546,44.60516197040038,0.0,86,87,88,88,90,94,100,140,190,250,250
