Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Heavy Request,3346,0,87,91.18389405296377,79.07640002667904,705.6410999502987,820.0,11.191323013254253,0.0,87,89,90,91,94,96,110,190,610,710,710
GET,Light Request,9940,0,87,89.75046383356582,78.03520001471043,981.7129999864846,797.0,33.246189704646525,0.0,87,89,90,91,94,96,100,180,610,980,980
,Aggregated,13286,0,87,90.11146470020029,78.03520001471043,981.7129999864846,802.7924130663856,44.43751271790078,0.0,87,89,90,91,94,96,100,180,610,730,980
